Date,SPPrice,SPNominalYield,SPDividendYield,SPRealReturn,TenYearBondReturn,Inflation,CAPE
"Jan 1, 1871",4.44,0.000818903,0,0.006370882,0.004433333,0.001749051,0
"Feb 1, 1871",4.5,0.013513514,0.004883333,-0.012100745,0.004433333,0.030497592,0
"Mar 1, 1871",4.61,0.024444444,0.004816667,0.014463603,0.004441667,0.014797508,0
"Apr 1, 1871",4.74,0.028199566,0.0047,0.068970172,0.004441667,-0.036070606,0
"May 1, 1871",4.86,0.025316456,0.004575,0.052980628,0.004441667,-0.023089172,0
"Jun 1, 1871",4.82,-0.008230453,0.004458333,0.011712803,0.00445,-0.015484923,0
"Jul 1, 1871",4.73,-0.018672199,0.004491667,-0.014180533,0.00445,0,0
"Aug 1, 1871",4.79,0.012684989,0.004583333,0.0329968,0.00445,-0.015728477,0
"Sep 1, 1871",4.84,0.010438413,0.004525,-0.009426831,0.004458333,0.024390244,0
"Oct 1, 1871",4.59,-0.051652893,0.004475,-0.062777236,0.004458333,0.015599343,0
"Nov 1, 1871",4.64,0.010893246,0.004716667,0.015609913,0.004458333,0,0
"Dec 1, 1871",4.74,0.021551724,0.004666667,0.003582983,0.004466667,0.022635408,0
"Jan 1, 1872",4.86,0.025316456,0.004575,0.029891456,0.004466667,0,0
"Feb 1, 1872",4.88,0.004115226,0.004458333,0.00857356,0.004483333,0,0
"Mar 1, 1872",5.04,0.032786885,0.004608333,0.022375456,0.0045,0.015019763,0
"Apr 1, 1872",5.18,0.027777778,0.004466667,0.009658775,0.004516667,0.02258567,0
"May 1, 1872",5.18,0,0.004341667,0.004341667,0.004525,0,0
"Jun 1, 1872",5.13,-0.00965251,0.004508333,0.00247197,0.004541667,-0.007616146,0
"Jul 1, 1872",5.1,-0.005847953,0.00455,0.013283781,0.004558333,-0.014581734,0
"Aug 1, 1872",5.04,-0.011764706,0.004575,-0.014977868,0.004575,0.007788162,0
"Sep 1, 1872",4.95,-0.017857143,0.004791667,-0.020020654,0.004591667,0.006955178,0
"Oct 1, 1872",4.97,0.004040404,0.004883333,0.030412609,0.004608333,-0.021488872,0
"Nov 1, 1872",4.95,-0.004024145,0.004866667,-0.0289614,0.004616667,0.029803922,0
"Dec 1, 1872",5.07,0.024242424,0.00505,0.043763102,0.004633333,-0.014470678,0
"Jan 1, 1873",5.11,0.007889546,0.004933333,0.01282288,0.00465,0,0
"Feb 1, 1873",5.15,0.007827789,0.004891667,-0.009691673,0.004641667,0.022411128,0
"Mar 1, 1873",5.11,-0.00776699,0.005016667,-0.002750324,0.004633333,0,0
"Apr 1, 1873",5.04,-0.01369863,0.005058333,-0.008640297,0.004625,0,0
"May 1, 1873",5.05,0.001984127,0.005125,0.029029006,0.004616667,-0.021919879,0
"Jun 1, 1873",4.98,-0.013861386,0.005116667,0.020621587,0.004608333,-0.029366306,0
"Jul 1, 1873",4.97,-0.002008032,0.005358333,0.003350301,0.004608333,0,0
"Aug 1, 1873",4.97,0,0.005366667,0.005366667,0.0046,0,0
"Sep 1, 1873",4.59,-0.076458753,0.005366667,-0.071092086,0.004591667,0,0
"Oct 1, 1873",4.19,-0.087145969,0.005808333,-0.058248464,0.004583333,-0.023089172,0
"Nov 1, 1873",4.04,-0.035799523,0.006566667,0.001736989,0.004575,-0.030969845,0
"Dec 1, 1873",4.42,0.094059406,0.006808333,0.076477495,0.004566667,0.024390244,0
"Jan 1, 1874",4.66,0.054298643,0.006225,0.044924299,0.004558333,0.015599343,0
"Feb 1, 1874",4.8,0.030042918,0.0059,0.035942918,0.004533333,0,0
"Mar 1, 1874",4.73,-0.014583333,0.005733333,-0.00885,0.0045,0,0
"Apr 1, 1874",4.6,-0.027484144,0.005816667,-0.006307736,0.004475,-0.015359741,0
"May 1, 1874",4.48,-0.026086957,0.005975,-0.011901776,0.00445,-0.008210181,0
"Jun 1, 1874",4.46,-0.004464286,0.006141667,0.024856189,0.004416667,-0.023178808,0
"Jul 1, 1874",4.46,0,0.006166667,-0.001460452,0.004391667,0.007627119,0
"Aug 1, 1874",4.47,0.002242152,0.006166667,0.015978205,0.004366667,-0.007569386,0
"Sep 1, 1874",4.54,0.015659955,0.00615,0.021809955,0.004333333,0,0
"Oct 1, 1874",4.53,-0.002202643,0.006058333,0.019957385,0.004308333,-0.016101695,0
"Nov 1, 1874",4.57,0.008830022,0.006066667,0.023509953,0.004283333,-0.008613264,0
"Dec 1, 1874",4.54,-0.006564551,0.006016667,-0.000547885,0.00425,0,0
"Jan 1, 1875",4.54,0,0.006058333,0.006058333,0.004225,0,0
"Feb 1, 1875",4.53,-0.002202643,0.006058333,0.00385569,0.004191667,0,0
"Mar 1, 1875",4.59,0.013245033,0.006066667,0.0193117,0.004158333,0,0
"Apr 1, 1875",4.65,0.013071895,0.005808333,0.010192131,0.004125,0.008688097,0
"May 1, 1875",4.47,-0.038709677,0.005733333,-0.007997877,0.004091667,-0.024978467,0
"Jun 1, 1875",4.38,-0.020134228,0.005966667,0.002616891,0.004058333,-0.016784452,0
"Jul 1, 1875",4.39,0.002283105,0.006091667,0.008374772,0.004025,0,0
"Aug 1, 1875",4.41,0.004555809,0.005883333,0.001454416,0.003991667,0.008984726,0
"Sep 1, 1875",4.37,-0.009070295,0.005858333,0.005692758,0.003958333,-0.00890472,0
"Oct 1, 1875",4.3,-0.016018307,0.005908333,-0.010109973,0.003925,0,0
"Nov 1, 1875",4.37,0.01627907,0.006008333,0.030373656,0.003891667,-0.008086253,0
"Dec 1, 1875",4.37,0,0.005716667,0.014774638,0.003858333,-0.009057971,0
"Jan 1, 1876",4.46,0.020594966,0.005716667,0.034538323,0.003825,-0.008226691,0
"Feb 1, 1876",4.52,0.013452915,0.005608333,0.019061248,0.003816667,0,0
"Mar 1, 1876",4.51,-0.002212389,0.005533333,0.003320944,0.003808333,0,0
"Apr 1, 1876",4.34,-0.037694013,0.005541667,-0.022935757,0.0038,-0.00921659,0
"May 1, 1876",4.18,-0.036866359,0.005758333,0.004240811,0.003783333,-0.035348837,0
"Jun 1, 1876",4.15,-0.007177033,0.005983333,0.025807264,0.003775,-0.027000964,0
"Jul 1, 1876",4.1,-0.012048193,0.006025,-0.006023193,0.003766667,0,0
"Aug 1, 1876",3.93,-0.041463415,0.0061,-0.044283137,0.003758333,0.008919722,0
"Sep 1, 1876",3.69,-0.061068702,0.006358333,-0.064533552,0.00375,0.009823183,0
"Oct 1, 1876",3.67,-0.005420054,0.006775,-0.017127544,0.003741667,0.01848249,0
"Nov 1, 1876",3.6,-0.019073569,0.006808333,-0.020861225,0.003725,0.008595989,0
"Dec 1, 1876",3.58,-0.005555556,0.006941667,-0.016606313,0.003716667,0.017992424,0
"Jan 1, 1877",3.55,-0.008379888,0.006983333,-0.019070974,0.003708333,0.017674419,0
"Feb 1, 1877",3.34,-0.05915493,0.006808333,-0.026752446,0.0037,-0.02559415,0
"Mar 1, 1877",3.17,-0.050898204,0.006983333,0.001113272,0.003691667,-0.045028143,0
"Apr 1, 1877",2.94,-0.072555205,0.0071,-0.093942435,0.003683333,0.02848723,0
"May 1, 1877",2.94,0,0.007366667,-0.01078042,0.003675,0.018147087,0
"Jun 1, 1877",2.73,-0.071428571,0.007083333,-0.010874319,0.003666667,-0.053470919,0
"Jul 1, 1877",2.85,0.043956044,0.007633333,0.042669655,0.003666667,0.008919722,0
